2025,Sunrise/Sunset,,Daylength,,Astronomical Twilight,,Nautical Twilight,,Civil Twilight,,Solar Noon,
30,05:21 ? (58°),20:56 ? (302°),15:34:08,?3:07,-,00:03,03:42,22:34,04:40,21:37,13:09 (56.3°),151.865
,,,,,02:16,-,,,,,,
,,,,,,23:58,,,,,,
31,05:23 ? (58°),20:54 ? (301°),15:30:58,?3:09,02:21,23:53,03:45,22:31,04:41,21:35,13:09 (56.1°),151.846
Aug,Sunrise,Sunset,Length,Diff.,Start,End,Start,End,Start,End,Time,Mil. km
,,,,,,,,,,,,
1,05:24 ? (59°),20:52 ? (301°),15:27:45,?3:12,02:26,23:48,03:47,22:29,04:43,21:33,13:09 (55.8°),151.827
2,05:26 ? (59°),20:51 ? (301°),15:24:30,?3:14,02:30,23:43,03:49,22:26,04:45,21:31,13:09 (55.6°),151.806
3,05:28 ? (60°),20:49 ? (300°),15:21:13,?3:17,02:35,23:39,03:52,22:24,04:47,21:29,13:09 (55.3°),151.786
4,05:29 ? (60°),20:47 ? (300°),15:17:54,?3:19,02:39,23:34,03:54,22:21,04:49,21:27,13:09 (55.1°),151.764
5,05:31 ? (61°),20:45 ? (299°),15:14:32,?3:21,02:44,23:30,03:57,22:19,04:50,21:25,13:09 (54.8°),151.743
6,05:32 ? (61°),20:43 ? (299°),15:11:09,?3:23,02:48,23:26,03:59,22:16,04:52,21:23,13:08 (54.5°),151.72
7,05:34 ? (62°),20:42 ? (298°),15:07:43,?3:25,02:51,23:22,04:01,22:14,04:54,21:21,13:08 (54.2°),151.698
8,05:35 ? (62°),20:40 ? (298°),15:04:16,?3:27,02:55,23:18,04:04,22:11,04:56,21:19,13:08 (53.9°),151.674
9,05:37 ? (63°),20:38 ? (297°),15:00:46,?3:29,02:59,23:14,04:06,22:08,04:58,21:17,13:08 (53.7°),151.651
10,05:39 ? (63°),20:36 ? (297°),14:57:15,?3:30,03:03,23:10,04:08,22:06,04:59,21:15,13:08 (53.4°),151.627
11,05:40 ? (64°),20:34 ? (296°),14:53:43,?3:32,03:06,23:06,04:10,22:03,05:01,21:13,13:08 (53.1°),151.603
12,05:42 ? (64°),20:32 ? (296°),14:50:08,?3:34,03:10,23:03,04:13,22:01,05:03,21:11,13:08 (52.8°),151.578
13,05:44 ? (65°),20:30 ? (295°),14:46:33,?3:35,03:13,22:59,04:15,21:58,05:05,21:08,13:07 (52.5°),151.553
14,05:45 ? (65°),20:28 ? (294°),14:42:56,?3:37,03:16,22:55,04:17,21:55,05:07,21:06,13:07 (52.2°),151.527
15,05:47 ? (66°),20:26 ? (294°),14:39:17,?3:38,03:20,22:52,04:20,21:53,05:09,21:04,13:07 (51.8°),151.501
16,05:48 ? (66°),20:24 ? (293°),14:35:37,?3:39,03:23,22:48,04:22,21:50,05:10,21:02,13:07 (51.5°),151.475
17,05:50 ? (67°),20:22 ? (293°),14:31:56,?3:41,03:26,22:45,04:24,21:47,05:12,21:00,13:07 (51.2°),151.448
18,05:52 ? (67°),20:20 ? (292°),14:28:13,?3:42,03:29,22:41,04:26,21:45,05:14,20:57,13:06 (50.9°),151.42
19,05:53 ? (68°),20:18 ? (292°),14:24:30,?3:43,03:32,22:38,04:28,21:42,05:16,20:55,13:06 (50.6°),151.392
20,05:55 ? (68°),20:16 ? (291°),14:20:45,?3:44,03:35,22:34,04:31,21:39,05:18,20:53,13:06 (50.2°),151.363
21,05:57 ? (69°),20:14 ? (291°),14:17:00,?3:45,03:38,22:31,04:33,21:37,05:20,20:50,13:06 (49.9°),151.333
22,05:58 ? (70°),20:11 ? (290°),14:13:13,?3:46,03:41,22:28,04:35,21:34,05:21,20:48,13:05 (49.6°),151.303
23,06:00 ? (70°),20:09 ? (289°),14:09:26,?3:47,03:44,22:24,04:37,21:32,05:23,20:46,13:05 (49.2°),151.272
24,06:01 ? (71°),20:07 ? (289°),14:05:37,?3:48,03:46,22:21,04:39,21:29,05:25,20:43,13:05 (48.9°),151.24
25,06:03 ? (71°),20:05 ? (288°),14:01:48,?3:49,03:49,22:18,04:41,21:26,05:27,20:41,13:05 (48.5°),151.207
26,06:05 ? (72°),20:03 ? (288°),13:57:58,?3:49,03:52,22:14,04:43,21:24,05:29,20:39,13:04 (48.2°),151.174
27,06:06 ? (73°),20:01 ? (287°),13:54:07,?3:50,03:55,22:11,04:45,21:21,05:30,20:36,13:04 (47.8°),151.14
28,06:08 ? (73°),19:58 ? (287°),13:50:16,?3:51,03:57,22:08,04:47,21:18,05:32,20:34,13:04 (47.5°),151.106
29,06:10 ? (74°),19:56 ? (286°),13:46:24,?3:51,04:00,22:05,04:50,21:16,05:34,20:32,13:03 (47.1°),151.071
30,06:11 ? (74°),19:54 ? (285°),13:42:32,?3:52,04:02,22:02,04:52,21:13,05:36,20:29,13:03 (46.8°),151.036
31,06:13 ? (75°),19:52 ? (285°),13:38:38,?3:53,04:05,21:59,04:54,21:10,05:37,20:27,13:03 (46.4°),151
Sep,Sunrise,Sunset,Length,Diff.,Start,End,Start,End,Start,End,Time,Mil. km
,,,,,,,,,,,,
1,06:15 ? (76°),19:49 ? (284°),13:34:45,?3:53,04:07,21:56,04:56,21:08,05:39,20:25,13:02 (46.0°),150.964
2,06:16 ? (76°),19:47 ? (284°),13:30:51,?3:54,04:10,21:53,04:58,21:05,05:41,20:22,13:02 (45.7°),150.927
3,06:18 ? (77°),19:45 ? (283°),13:26:56,?3:54,04:12,21:50,05:00,21:03,05:43,20:20,13:02 (45.3°),150.89
4,06:19 ? (77°),19:42 ? (282°),13:23:01,?3:55,04:15,21:46,05:02,21:00,05:44,20:17,13:02 (44.9°),150.853
5,06:21 ? (78°),19:40 ? (282°),13:19:06,?3:55,04:17,21:43,05:03,20:57,05:46,20:15,13:01 (44.6°),150.816
6,06:23 ? (79°),19:38 ? (281°),13:15:10,?3:55,04:19,21:41,05:05,20:55,05:48,20:13,13:01 (44.2°),150.778
7,06:24 ? (79°),19:36 ? (280°),13:11:14,?3:56,04:22,21:38,05:07,20:52,05:50,20:10,13:00 (43.8°),150.741
8,06:26 ? (80°),19:33 ? (280°),13:07:17,?3:56,04:24,21:35,05:09,20:50,05:51,20:08,13:00 (43.5°),150.703
9,06:28 ? (80°),19:31 ? (279°),13:03:20,?3:56,04:26,21:32,05:11,20:47,05:53,20:05,13:00 (43.1°),150.665
10,06:29 ? (81°),19:29 ? (279°),12:59:23,?3:57,04:28,21:29,05:13,20:44,05:55,20:03,12:59 (42.7°),150.627
11,06:31 ? (82°),19:26 ? (278°),12:55:26,?3:57,04:30,21:26,05:15,20:42,05:56,20:01,12:59 (42.3°),150.589
12,06:32 ? (82°),19:24 ? (277°),12:51:28,?3:57,04:33,21:23,05:17,20:39,05:58,19:58,12:59 (41.9°),150.551
13,06:34 ? (83°),19:22 ? (277°),12:47:30,?3:57,04:35,21:20,05:19,20:37,06:00,19:56,12:58 (41.6°),150.512
14,06:36 ? (84°),19:19 ? (276°),12:43:32,?3:58,04:37,21:17,05:21,20:34,06:02,19:53,12:58 (41.2°),150.473
15,06:37 ? (84°),19:17 ? (275°),12:39:33,?3:58,04:39,21:15,05:22,20:32,06:03,19:51,12:58 (40.8°),150.434
16,06:39 ? (85°),19:15 ? (275°),12:35:35,?3:58,04:41,21:12,05:24,20:29,06:05,19:48,12:57 (40.4°),150.395
17,06:41 ? (85°),19:12 ? (274°),12:31:36,?3:58,04:43,21:09,05:26,20:26,06:07,19:46,12:57 (40.0°),150.355
18,06:42 ? (86°),19:10 ? (274°),12:27:37,?3:58,04:45,21:06,05:28,20:24,06:08,19:44,12:57 (39.6°),150.315
19,06:44 ? (87°),19:08 ? (273°),12:23:38,?3:59,04:47,21:04,05:30,20:21,06:10,19:41,12:56 (39.2°),150.275
20,06:46 ? (87°),19:05 ? (272°),12:19:39,?3:59,04:49,21:01,05:31,20:19,06:12,19:39,12:56 (38.9°),150.234
21,06:47 ? (88°),19:03 ? (272°),12:15:39,?3:59,04:51,20:58,05:33,20:16,06:13,19:37,12:56 (38.5°),150.193
22,06:49 ? (89°),19:01 ? (271°),12:11:40,?3:59,04:53,20:56,05:35,20:14,06:15,19:34,12:55 (38.1°),150.151
23,06:50 ? (89°),18:58 ? (270°),12:07:41,?3:59,04:55,20:53,05:37,20:12,06:17,19:32,12:55 (37.7°),150.11
24,06:52 ? (90°),18:56 ? (270°),12:03:41,?3:59,04:57,20:50,05:39,20:09,06:18,19:29,12:54 (37.3°),150.067
25,06:54 ? (91°),18:53 ? (269°),11:59:42,?3:59,04:59,20:48,05:40,20:07,06:20,19:27,12:54 (36.9°),150.025
26,06:55 ? (91°),18:51 ? (269°),11:55:42,?3:59,05:01,20:45,05:42,20:04,06:22,19:25,12:54 (36.5°),149.982
27,06:57 ? (92°),18:49 ? (268°),11:51:43,?3:59,05:03,20:43,05:44,20:02,06:23,19:22,12:53 (36.1°),149.939
28,06:59 ? (92°),18:46 ? (267°),11:47:44,?3:59,05:05,20:40,05:46,19:59,06:25,19:20,12:53 (35.7°),149.896
29,07:00 ? (93°),18:44 ? (267°),11:43:44,?3:59,05:07,20:37,05:47,19:57,06:27,19:18,12:53 (35.4°),149.852
30,07:02 ? (94°),18:42 ? (266°),11:39:45,?3:59,05:09,20:35,05:49,19:55,06:28,19:15,12:52 (35.0°),149.809
Oct,Sunrise,Sunset,Length,Diff.,Start,End,Start,End,Start,End,Time,Mil. km
,,,,,,,,,,,,
1,07:04 ? (94°),18:40 ? (265°),11:35:46,?3:59,05:10,20:32,05:51,19:52,06:30,19:13,12:52 (34.6°),149.765
2,07:05 ? (95°),18:37 ? (265°),11:31:47,?3:58,05:12,20:30,05:52,19:50,06:32,19:11,12:52 (34.2°),149.721
3,07:07 ? (96°),18:35 ? (264°),11:27:48,?3:58,05:14,20:28,05:54,19:48,06:33,19:09,12:51 (33.8°),149.678
4,07:09 ? (96°),18:33 ? (264°),11:23:50,?3:58,05:16,20:25,05:56,19:45,06:35,19:06,12:51 (33.4°),149.634
5,07:10 ? (97°),18:30 ? (263°),11:19:52,?3:58,05:18,20:23,05:58,19:43,06:37,19:04,12:51 (33.0°),149.591
6,07:12 ? (97°),18:28 ? (262°),11:15:54,?3:58,05:19,20:20,05:59,19:41,06:38,19:02,12:51 (32.7°),149.548
7,07:14 ? (98°),18:26 ? (262°),11:11:56,?3:57,05:21,20:18,06:01,19:39,06:40,19:00,12:50 (32.3°),149.505
8,07:16 ? (99°),18:24 ? (261°),11:07:58,?3:57,05:23,20:16,06:03,19:36,06:42,18:57,12:50 (31.9°),149.462
9,07:17 ? (99°),18:21 ? (260°),11:04:01,?3:57,05:25,20:14,06:04,19:34,06:43,18:55,12:50 (31.5°),149.42
10,07:19 ? (100°),18:19 ? (260°),11:00:04,?3:57,05:26,20:11,06:06,19:32,06:45,18:53,12:49 (31.1°),149.378
11,07:21 ? (101°),18:17 ? (259°),10:56:07,?3:56,05:28,20:09,06:08,19:30,06:47,18:51,12:49 (30.8°),149.336
12,07:22 ? (101°),18:15 ? (259°),10:52:11,?3:56,05:30,20:07,06:09,19:28,06:48,18:49,12:49 (30.4°),149.294
13,07:24 ? (102°),18:12 ? (258°),10:48:15,?3:55,05:32,20:05,06:11,19:25,06:50,18:46,12:49 (30.0°),149.253
14,07:26 ? (102°),18:10 ? (257°),10:44:19,?3:55,05:33,20:02,06:13,19:23,06:52,18:44,12:48 (29.6°),149.211
15,07:28 ? (103°),18:08 ? (257°),10:40:24,?3:55,05:35,20:00,06:14,19:21,06:53,18:42,12:48 (29.3°),149.17
16,07:29 ? (104°),18:06 ? (256°),10:36:30,?3:54,05:37,19:58,06:16,19:19,06:55,18:40,12:48 (28.9°),149.128
17,07:31 ? (104°),18:04 ? (255°),10:32:36,?3:53,05:38,19:56,06:18,19:17,06:57,18:38,12:48 (28.5°),149.087
18,07:33 ? (105°),18:02 ? (255°),10:28:42,?3:53,05:40,19:54,06:19,19:15,06:59,18:36,12:48 (28.2°),149.046
19,07:35 ? (105°),17:59 ? (254°),10:24:50,?3:52,05:42,19:52,06:21,19:13,07:00,18:34,12:47 (27.8°),149.004
20,07:36 ? (106°),17:57 ? (254°),10:20:57,?3:52,05:43,19:50,06:23,19:11,07:02,18:32,12:47 (27.5°),148.963
21,07:38 ? (107°),17:55 ? (253°),10:17:06,?3:51,05:45,19:48,06:24,19:09,07:04,18:30,12:47 (27.1°),148.921
22,07:40 ? (107°),17:53 ? (253°),10:13:16,?3:50,05:47,19:46,06:26,19:07,07:05,18:28,12:47 (26.8°),148.88
23,07:42 ? (108°),17:51 ? (252°),10:09:26,?3:49,05:48,19:44,06:28,19:05,07:07,18:26,12:47 (26.4°),148.839
24,07:43 ? (108°),17:49 ? (251°),10:05:37,?3:48,05:50,19:42,06:29,19:03,07:09,18:24,12:47 (26.1°),148.797
25,07:45 ? (109°),17:47 ? (251°),10:01:49,?3:47,05:52,19:40,06:31,19:01,07:10,18:22,12:47 (25.7°),148.756
Note: hours shift because clocks change backward 1 hour. (See the note below this table for details),,,,,,,,,,,,
26,06:47 ? (110°),16:45 ? (250°),09:58:03,?3:46,04:53,18:39,05:32,18:00,06:12,17:20,11:46 (25.4°),148.715
27,06:49 ? (110°),16:43 ? (250°),09:54:17,?3:45,04:55,18:37,05:34,17:58,06:14,17:18,11:46 (25.0°),148.674
28,06:51 ? (111°),16:41 ? (249°),09:50:32,?3:44,04:57,18:35,05:36,17:56,06:15,17:16,11:46 (24.7°),148.633
29,06:52 ? (111°),16:39 ? (249°),09:46:49,?3:43,04:58,18:33,05:37,17:54,06:17,17:15,11:46 (24.4°),148.592
30,06:54 ? (112°),16:37 ? (248°),09:43:07,?3:41,05:00,18:32,05:39,17:53,06:19,17:13,11:46 (24.0°),148.552
31,06:56 ? (112°),16:36 ? (247°),09:39:27,?3:40,05:01,18:30,05:41,17:51,06:20,17:11,11:46 (23.7°),148.512
Nov,Sunrise,Sunset,Length,Diff.,Start,End,Start,End,Start,End,Time,Mil. km
,,,,,,,,,,,,
1,06:58 ? (113°),16:34 ? (247°),09:35:48,?3:39,05:03,18:28,05:42,17:49,06:22,17:09,11:46 (23.4°),148.472
2,07:00 ? (113°),16:32 ? (246°),09:32:10,?3:37,05:05,18:27,05:44,17:48,06:24,17:08,11:46 (23.1°),148.433
3,07:01 ? (114°),16:30 ? (246°),09:28:34,?3:35,05:06,18:25,05:45,17:46,06:26,17:06,11:46 (22.8°),148.395
4,07:03 ? (115°),16:28 ? (245°),09:25:00,?3:34,05:08,18:24,05:47,17:44,06:27,17:04,11:46 (22.5°),148.357
5,07:05 ? (115°),16:27 ? (245°),09:21:27,?3:32,05:09,18:22,05:49,17:43,06:29,17:03,11:46 (22.2°),148.319
6,07:07 ? (116°),16:25 ? (244°),09:17:57,?3:30,05:11,18:21,05:50,17:41,06:31,17:01,11:46 (21.9°),148.282
7,07:09 ? (116°),16:23 ? (244°),09:14:28,?3:28,05:12,18:19,05:52,17:40,06:32,17:00,11:46 (21.6°),148.246
8,07:10 ? (117°),16:21 ? (243°),09:11:01,?3:26,05:14,18:18,05:53,17:39,06:34,16:58,11:46 (21.3°),148.21
9,07:12 ? (117°),16:20 ? (243°),09:07:37,?3:24,05:15,18:17,05:55,17:37,06:36,16:57,11:46 (21.0°),148.175
10,07:14 ? (118°),16:18 ? (242°),09:04:15,?3:22,05:17,18:15,05:56,17:36,06:37,16:55,11:46 (20.7°),148.141
11,07:16 ? (118°),16:17 ? (242°),09:00:55,?3:19,05:18,18:14,05:58,17:35,06:39,16:54,11:47 (20.4°),148.107
12,07:18 ? (119°),16:15 ? (241°),08:57:37,?3:17,05:20,18:13,05:59,17:33,06:40,16:52,11:47 (20.2°),148.073
13,07:19 ? (119°),16:14 ? (241°),08:54:23,?3:14,05:21,18:12,06:01,17:32,06:42,16:51,11:47 (19.9°),148.04
14,07:21 ? (119°),16:12 ? (240°),08:51:11,?3:12,05:23,18:11,06:03,17:31,06:44,16:50,11:47 (19.6°),148.007
15,07:23 ? (120°),16:11 ? (240°),08:48:01,?3:09,05:24,18:09,06:04,17:30,06:45,16:48,11:47 (19.4°),147.975
16,07:25 ? (120°),16:10 ? (239°),08:44:55,?3:06,05:26,18:08,06:06,17:29,06:47,16:47,11:47 (19.1°),147.943
17,07:26 ? (121°),16:08 ? (239°),08:41:52,?3:03,05:27,18:07,06:07,17:27,06:49,16:46,11:48 (18.9°),147.912
18,07:28 ? (121°),16:07 ? (239°),08:38:52,?3:00,05:28,18:06,06:08,17:26,06:50,16:45,11:48 (18.7°),147.88
19,07:30 ? (122°),16:06 ? (238°),08:35:55,?2:56,05:30,18:05,06:10,17:25,06:52,16:44,11:48 (18.4°),147.849
20,07:31 ? (122°),16:04 ? (238°),08:33:02,?2:53,05:31,18:05,06:11,17:24,06:53,16:43,11:48 (18.2°),147.819
21,07:33 ? (122°),16:03 ? (237°),08:30:12,?2:49,05:33,18:04,06:13,17:24,06:55,16:42,11:48 (18.0°),147.789
22,07:35 ? (123°),16:02 ? (237°),08:27:26,?2:45,05:34,18:03,06:14,17:23,06:56,16:41,11:49 (17.8°),147.759
23,07:36 ? (123°),16:01 ? (237°),08:24:44,?2:41,05:35,18:02,06:16,17:22,06:58,16:40,11:49 (17.6°),147.729
24,07:38 ? (124°),16:00 ? (236°),08:22:07,?2:37,05:37,18:01,06:17,17:21,06:59,16:39,11:49 (17.4°),147.7
25,07:40 ? (124°),15:59 ? (236°),08:19:33,?2:33,05:38,18:01,06:18,17:20,07:01,16:38,11:50 (17.2°),147.672
26,07:41 ? (124°),15:58 ? (236°),08:17:03,?2:29,05:39,18:00,06:20,17:20,07:02,16:37,11:50 (17.0°),147.644
27,07:43 ? (125°),15:57 ? (235°),08:14:38,?2:24,05:40,18:00,06:21,17:19,07:04,16:37,11:50 (16.8°),147.616
28,07:44 ? (125°),15:57 ? (235°),08:12:18,?2:20,05:42,17:59,06:22,17:18,07:05,16:36,11:51 (16.6°),147.589
29,07:46 ? (125°),15:56 ? (235°),08:10:02,?2:15,05:43,17:58,06:24,17:18,07:06,16:35,11:51 (16.4°),147.562
30,07:47 ? (126°),15:55 ? (234°),08:07:51,?2:10,05:44,17:58,06:25,17:17,07:08,16:35,11:51 (16.3°),147.537
Dec,Sunrise,Sunset,Length,Diff.,Start,End,Start,End,Start,End,Time,Mil. km
,,,,,,,,,,,,
1,07:49 ? (126°),15:54 ? (234°),08:05:46,?2:05,05:45,17:58,06:26,17:17,07:09,16:34,11:52 (16.1°),147.512
2,07:50 ? (126°),15:54 ? (234°),08:03:45,?2:00,05:46,17:57,06:27,17:16,07:10,16:34,11:52 (16.0°),147.487
3,07:51 ? (126°),15:53 ? (233°),08:01:49,?1:55,05:48,17:57,06:28,17:16,07:11,16:33,11:52 (15.8°),147.464
4,07:53 ? (127°),15:53 ? (233°),07:59:59,?1:50,05:49,17:57,06:30,17:16,07:13,16:33,11:53 (15.7°),147.441
5,07:54 ? (127°),15:52 ? (233°),07:58:15,?1:44,05:50,17:56,06:31,17:16,07:14,16:32,11:53 (15.6°),147.42
6,07:55 ? (127°),15:52 ? (233°),07:56:36,?1:39,05:51,17:56,06:32,17:15,07:15,16:32,11:54 (15.5°),147.399
7,07:56 ? (127°),15:51 ? (233°),07:55:02,?1:33,05:52,17:56,06:33,17:15,07:16,16:32,11:54 (15.4°),147.379
8,07:58 ? (128°),15:51 ? (232°),07:53:35,?1:27,05:53,17:56,06:34,17:15,07:17,16:32,11:55 (15.2°),147.36
9,07:59 ? (128°),15:51 ? (232°),07:52:13,?1:21,05:54,17:56,06:35,17:15,07:18,16:31,11:55 (15.1°),147.342
10,08:00 ? (128°),15:51 ? (232°),07:50:58,?1:15,05:55,17:56,06:36,17:15,07:19,16:31,11:55 (15.1°),147.324
11,08:01 ? (128°),15:51 ? (232°),07:49:48,?1:09,05:55,17:56,06:37,17:15,07:20,16:31,11:56 (15.0°),147.308
12,08:02 ? (128°),15:51 ? (232°),07:48:45,?1:03,05:56,17:56,06:38,17:15,07:21,16:31,11:56 (14.9°),147.292
13,08:03 ? (128°),15:51 ? (232°),07:47:48,?0:56,05:57,17:56,06:38,17:15,07:22,16:31,11:57 (14.8°),147.276
14,08:04 ? (129°),15:51 ? (231°),07:46:58,?0:50,05:58,17:56,06:39,17:15,07:23,16:32,11:57 (14.8°),147.262
15,08:05 ? (129°),15:51 ? (231°),07:46:14,?0:43,05:59,17:57,06:40,17:15,07:24,16:32,11:58 (14.7°),147.248
16,08:05 ? (129°),15:51 ? (231°),07:45:36,?0:37,05:59,17:57,06:41,17:16,07:24,16:32,11:58 (14.7°),147.234
17,08:06 ? (129°),15:51 ? (231°),07:45:06,?0:30,06:00,17:57,06:41,17:16,07:25,16:32,11:59 (14.6°),147.222
18,08:07 ? (129°),15:52 ? (231°),07:44:41,?0:24,06:01,17:58,06:42,17:16,07:26,16:33,11:59 (14.6°),147.209
19,08:08 ? (129°),15:52 ? (231°),07:44:24,?0:17,06:01,17:58,06:43,17:17,07:27,16:33,12:00 (14.6°),147.198
20,08:08 ? (129°),15:52 ? (231°),07:44:13,?0:10,06:02,17:58,06:43,17:17,07:27,16:33,12:00 (14.6°),147.186
21,08:09 ? (129°),15:53 ? (231°),07:44:09,?0:04,06:02,17:59,06:44,17:18,07:28,16:34,12:01 (14.6°),147.176
22,08:09 ? (129°),15:53 ? (231°),07:44:11,+0:02,06:03,17:59,06:44,17:18,07:28,16:34,12:01 (14.6°),147.166
23,08:10 ? (129°),15:54 ? (231°),07:44:21,+0:09,06:03,18:00,06:45,17:19,07:29,16:35,12:02 (14.6°),147.156
24,08:10 ? (129°),15:55 ? (231°),07:44:37,+0:15,06:04,18:01,06:45,17:19,07:29,16:36,12:02 (14.6°),147.147
25,08:10 ? (129°),15:55 ? (231°),07:44:59,+0:22,06:04,18:01,06:46,17:20,07:29,16:36,12:03 (14.6°),147.139
26,08:11 ? (129°),15:56 ? (231°),07:45:28,+0:29,06:05,18:02,06:46,17:21,07:30,16:37,12:03 (14.7°),147.132
27,08:11 ? (129°),15:57 ? (231°),07:46:04,+0:35,06:05,18:03,06:46,17:21,07:30,16:38,12:04 (14.7°),147.125
28,08:11 ? (129°),15:58 ? (231°),07:46:47,+0:42,06:05,18:03,06:46,17:22,07:30,16:38,12:04 (14.8°),147.119
29,08:11 ? (128°),15:59 ? (232°),07:47:36,+0:48,06:05,18:04,06:46,17:23,07:30,16:39,12:05 (14.8°),147.113
30,08:11 ? (128°),15:59 ? (232°),07:48:31,+0:55,06:05,18:05,06:47,17:24,07:30,16:40,12:05 (14.9°),147.109
31,08:11 ? (128°),16:00 ? (232°),07:49:33,+1:01,06:06,18:06,06:47,17:25,07:30,16:41,12:06 (15.0°),147.105
